dataset,setting,ai_kind,policy_kind,human_kind,n_test,budget,spent_cost,avg_subset_size,pct_human_used,ai_only_accuracy,ai_only_dp_diff,ai_only_eo_diff,ai_only_eopp_diff,ai_only_te_diff,ai_only_subgroup_fairness,ai_only_individual_fairness,final_accuracy,final_demographic_parity_diff,final_equalized_odds_diff,final_equal_opportunity_diff,final_treatment_equality_diff,final_subgroup_fairness,final_individual_fairness,wall_seconds
adult,g_FAIRPLACO_fairAI_unbiased,fair,fair_placo,unbiased,13567,122103.0,102369.81851587252,7.72632122060883,99.99262917373038,0.866072086680917,0.159223477133956,0.05080701682898,0.0402524544179523,0.0480959209918312,0.4608824320688727,0.9221345912876756,0.9766344807252894,0.1881155796294738,0.0076798011490974,0.0019566592415367,0.5579724021916925,0.0595103578154425,0.7989680843222484,1024.3651068210602
adult,h_FAIRPLACO_fairAI_explicit,fair,fair_placo,explicit_biased,13567,122103.0,102647.65008603422,7.782929166359549,99.99262917373038,0.866072086680917,0.159223477133956,0.05080701682898,0.0402524544179523,0.0480959209918312,0.4608824320688727,0.9221345912876756,0.9503206309427288,0.1756433770372251,0.2835670874240299,0.2835670874240299,1.3133875903118029,0.4359160613397902,0.8010171740252018,2565.2225937843323
adult,i_FAIRPLACO_fairAI_automation,fair,fair_placo,automation_biased,13567,122103.0,102411.09949896162,7.840569027788015,99.98525834746074,0.866072086680917,0.159223477133956,0.05080701682898,0.0402524544179523,0.0480959209918312,0.4608824320688727,0.9221345912876756,0.8674725436721457,0.1602638864170429,0.0512813251293753,0.0364092621620877,0.0499556654668672,0.4551251008878128,0.9190388442544324,596.325366973877
adult,j_FAIRPLACO_basicAI_unbiased,basic,fair_placo,unbiased,13567,122103.0,102375.18840724233,7.728237635438933,99.99262917373038,0.8651138792658657,0.1743677555779118,0.0870390231829056,0.0870390231829056,0.3823671700442761,0.484167339252085,0.924419547431259,0.9767818972506818,0.1894626136501003,0.0087692025589829,0.004618705827352,0.4023449807719207,0.0571186440677966,0.7981425517800507,591.4237780570984
adult,k_FAIRPLACO_basicAI_explicit,basic,fair_placo,explicit_biased,13567,122103.0,102578.25654100324,7.776663964030368,99.97788752119112,0.8651138792658657,0.1743677555779118,0.0870390231829056,0.0870390231829056,0.3823671700442761,0.484167339252085,0.924419547431259,0.9530478366624898,0.1811607606716107,0.3043835767125924,0.3043835767125924,1.1230306347180865,0.4796050203026947,0.7982604850003672,583.4906439781189
adult,l_FAIRPLACO_basicAI_automation,basic,fair_placo,automation_biased,13567,122103.0,102393.81233345912,7.83850519643252,99.97788752119112,0.8651138792658657,0.1743677555779118,0.0870390231829056,0.0870390231829056,0.3823671700442761,0.484167339252085,0.924419547431259,0.8664406279943981,0.1758538914385101,0.0855072463768116,0.0855072463768116,0.3901664532427239,0.4788808178638687,0.9212795754403984,592.5281300544739
cifar10h,a_placo_basicAI_unbiased,basic,placo,unbiased,3000,27000.0,22636.53834236688,7.732,100.0,0.7233333333333334,0.1453948116964387,0.302322614724806,0.302322614724806,0.307296516225044,0.4398785983629174,0.8953333333333338,0.9633333333333334,0.1026780634884514,0.0295847250395726,0.0295847250395726,0.0945585826250126,0.0673227116526086,0.6594666666666611,131.77055597305298
cifar10h,b_placo_basicAI_explicit,basic,placo,explicit_biased,3000,27000.0,22669.635453020168,7.758333333333334,100.0,0.7233333333333334,0.1453948116964387,0.302322614724806,0.302322614724806,0.307296516225044,0.4398785983629174,0.8953333333333338,0.8383333333333334,0.0913357606098532,0.2155358435850951,0.2155358435850951,0.167222761394611,0.2614046603216279,0.6831333333333285,133.85869121551514
cifar10h,c_placo_basicAI_automation,basic,placo,automation_biased,3000,27000.0,22262.69472829679,7.7,100.0,0.7233333333333334,0.1453948116964387,0.302322614724806,0.302322614724806,0.307296516225044,0.4398785983629174,0.8953333333333338,0.7236666666666667,0.14605970531346,0.3035318045676114,0.3035318045676114,0.3152016957321573,0.4414053159201692,0.896066666666667,127.80854916572572
cifar10h,d_placo_fairAI_unbiased,fair,placo,unbiased,3000,27000.0,22636.135813910827,7.729,100.0,0.7203333333333334,0.0418420753214244,0.2003478285840433,0.1960666294147556,0.3027748210062171,0.3217626147105024,0.8857333333333336,0.9633333333333334,0.0973375810672431,0.0293080307813379,0.0293080307813379,0.1808189269094196,0.0724773508278663,0.6574666666666606,1005.4173710346222
